tokenName,fileName,uuid,component
default-font-family,typography,45d43d4e-a4e4-4c5f-94ec-644a81300eb0,
sans-serif-font-family,typography,a552c422-c51c-458a-87b0-c6fe5178bf4b,
serif-font-family,typography,7f83198f-26ec-4156-9573-826dd7feb718,
cjk-font-family,typography,034892ba-eff6-4193-b4c5-61d20c8f22eb,
light-font-weight,typography,fd477873-3767-4883-ab3f-5ee2758b923b,
regular-font-weight,typography,02a94ddf-1007-4c86-8863-905874e40f95,
medium-font-weight,typography,c966c3b6-1bf5-4064-89f9-00d9ec673fd4,
bold-font-weight,typography,ff246e6b-7515-49a2-9dc6-8cdf1ea9b2d8,
extra-bold-font-weight,typography,ccadf44e-5424-4920-979f-ea1ef39687c4,
black-font-weight,typography,e2f23ca1-802b-40a2-a211-33090f9a043e,
italic-font-style,typography,9a58e4ae-dfa1-428b-9d90-11f4275418da,
default-font-style,typography,25668698-bf78-46f4-bc6c-8fea068ddb34,
font-size-50,typography,,
font-size-75,typography,,
font-size-100,typography,,
font-size-200,typography,,
font-size-300,typography,,
font-size-400,typography,,
font-size-500,typography,,
font-size-600,typography,,
font-size-700,typography,,
font-size-800,typography,,
font-size-900,typography,,
font-size-1000,typography,,
font-size-1100,typography,,
font-size-1200,typography,,
font-size-1300,typography,,
line-height-100,typography,dd125d1d-cf4d-45c8-ab21-52331a9a264b,
line-height-200,typography,832f2589-0e75-48dd-bbe3-e3f5b98e6c97,
cjk-line-height-100,typography,8b4ab68d-9060-4e11-9ecc-3b9d3db27fe4,
cjk-line-height-200,typography,c5a5d186-54b3-44a0-b1c6-e9b102871015,
cjk-letter-spacing,typography,12e27721-35f5-4d03-95f3-3fc9e1cf50e4,
heading-sans-serif-font-family,typography,234d7b9d-bddc-4988-8be5-ef5e41e08185,heading
heading-serif-font-family,typography,f2430818-41b5-439a-8347-6b384e78d141,heading
heading-cjk-font-family,typography,b6652ee5-466f-4117-a77c-a93a40f2a791,heading
heading-sans-serif-light-font-weight,typography,ff84a748-5923-451d-967c-a346d2dee46c,heading
heading-sans-serif-light-font-style,typography,c5551fd5-4ee2-4c93-b91f-9ed295fa63a4,heading
heading-serif-light-font-weight,typography,66958795-6459-4750-8c68-dc39ab383837,heading
heading-serif-light-font-style,typography,5f30418a-aa76-434e-bca9-902d5be0d929,heading
heading-cjk-light-font-weight,typography,9da0ba4c-b4e3-4052-8b2e-d2fde714bb9d,heading
heading-cjk-light-font-style,typography,b5704c75-2914-4268-9023-7f7452e826c1,heading
heading-sans-serif-font-weight,typography,,heading
heading-sans-serif-font-style,typography,561d905e-7f44-43da-b2b4-26e12551ef6d,heading
heading-serif-font-weight,typography,,heading
heading-serif-font-style,typography,938f3684-44c6-4ae2-935a-b88921fcd7fe,heading
heading-cjk-font-weight,typography,,heading
heading-cjk-font-style,typography,c93b39df-82e9-4e87-920f-1747e5d48e8e,heading
heading-sans-serif-heavy-font-weight,typography,ef13b8f0-f686-492d-990f-691ec91ebb96,heading
heading-sans-serif-heavy-font-style,typography,0c4cdd06-8180-40b1-9b1f-d7d973a7b772,heading
heading-serif-heavy-font-weight,typography,6b74c5ea-6bf4-46bb-bee1-3841606f1500,heading
heading-serif-heavy-font-style,typography,14532cb8-6c88-46ce-886b-96fac971e7b9,heading
heading-cjk-heavy-font-weight,typography,73c20d2f-1227-46bc-8548-102358405b0b,heading
heading-cjk-heavy-font-style,typography,b2f50ba2-e694-47ba-b81a-ea8fc813247e,heading
heading-sans-serif-light-strong-font-weight,typography,75437f9a-7ee8-4194-b4b3-0746be097396,heading
heading-sans-serif-light-strong-font-style,typography,67271ca0-c9fd-4047-a615-6314d7333f7a,heading
heading-serif-light-strong-font-weight,typography,29ad1c96-62e4-4143-88e8-fc8e08913a52,heading
heading-serif-light-strong-font-style,typography,73906871-24e5-48cc-9140-ec700c08d144,heading
heading-cjk-light-strong-font-weight,typography,5ca91bc2-215b-4cbb-b966-80bfffd569ad,heading
heading-cjk-light-strong-font-style,typography,be854057-43b1-40ce-bdc7-69960cd7638c,heading
heading-sans-serif-strong-font-weight,typography,79275989-91ed-408a-b884-a31d9f8bac26,heading
heading-sans-serif-strong-font-style,typography,2117cb6e-67f7-4509-b4fb-e9e442b6dc0e,heading
heading-serif-strong-font-weight,typography,6df0fb95-4aa0-4c67-896d-fa6aa3d34e95,heading
heading-serif-strong-font-style,typography,2e0ef484-406a-4902-995d-9a3d5177ec12,heading
heading-cjk-strong-font-weight,typography,eaf179aa-4514-4206-b3e2-a99b7d4d2029,heading
heading-cjk-strong-font-style,typography,4f061165-0e86-46b9-83c3-c95eeb8ff956,heading
heading-sans-serif-heavy-strong-font-weight,typography,2104c3c2-d834-436a-a26d-508056f1013d,heading
heading-sans-serif-heavy-strong-font-style,typography,86775b10-5682-49fb-9d38-6bdb857da801,heading
heading-serif-heavy-strong-font-weight,typography,af0010c7-5134-4fe4-bee1-bbb7dd31de3a,heading
heading-serif-heavy-strong-font-style,typography,b2875bbe-b5cb-452f-b7d6-3dcb4fc59921,heading
heading-cjk-heavy-strong-font-weight,typography,b7d2203c-c651-493e-80c2-b71b7c7c2692,heading
heading-cjk-heavy-strong-font-style,typography,26817f91-2742-4170-aa01-1e1e67ef01e8,heading
heading-sans-serif-light-emphasized-font-weight,typography,e882ea46-8f0a-4313-84f5-85bb8d9f1f5e,heading
heading-sans-serif-light-emphasized-font-style,typography,5f88eb81-7052-4c21-9896-f14cb09f0e70,heading
heading-serif-light-emphasized-font-weight,typography,b5f79fde-07f7-4c07-897e-0bfdf27e2839,heading
heading-serif-light-emphasized-font-style,typography,7bd831cd-3fe0-402b-a105-f65b8e8023e2,heading
heading-cjk-light-emphasized-font-weight,typography,aea9787b-ee0b-40cc-9089-5973e52b18bd,heading
heading-cjk-light-emphasized-font-style,typography,dac03eec-6910-4176-bfca-33f8a57cf3d7,heading
heading-sans-serif-emphasized-font-weight,typography,,heading
heading-sans-serif-emphasized-font-style,typography,2f17833a-28a4-4152-8999-12b077557797,heading
heading-serif-emphasized-font-weight,typography,,heading
heading-serif-emphasized-font-style,typography,fe694554-832d-457d-a320-f02629f9c441,heading
heading-cjk-emphasized-font-weight,typography,d854afd2-290a-40ae-a627-c4cdabeb546a,heading
heading-cjk-emphasized-font-style,typography,05c74b28-3051-498c-874a-5dc523bc27e5,heading
heading-sans-serif-heavy-emphasized-font-weight,typography,a7cb3274-e48e-435b-a066-32027ac19e84,heading
heading-sans-serif-heavy-emphasized-font-style,typography,924c338f-7141-490a-a842-ad632c26160c,heading
heading-serif-heavy-emphasized-font-weight,typography,82e9d579-8918-4114-bafa-3a9757556f84,heading
heading-serif-heavy-emphasized-font-style,typography,a18ac621-eade-4224-9660-3e9a080219ec,heading
heading-cjk-heavy-emphasized-font-weight,typography,9315971c-6e83-42c8-9c24-d1bc6fa5e106,heading
heading-cjk-heavy-emphasized-font-style,typography,aef21944-3dac-4b2d-ba7b-0a4df3f406bb,heading
heading-sans-serif-light-strong-emphasized-font-weight,typography,c297a503-fc3c-4939-8c5a-6611b9b04719,heading
heading-sans-serif-light-strong-emphasized-font-style,typography,bc5d65e0-e13a-424c-a260-9268a0dee66c,heading
heading-serif-light-strong-emphasized-font-weight,typography,98c61df3-057d-4345-881e-0c04628757f3,heading
heading-serif-light-strong-emphasized-font-style,typography,71c8e302-6bc1-4f45-b804-c847dd153d1b,heading
heading-cjk-light-strong-emphasized-font-weight,typography,83cc347c-7a1a-4665-9de4-cf19903f1043,heading
heading-cjk-light-strong-emphasized-font-style,typography,9136e25e-563b-4485-bad7-41809d5317de,heading
heading-sans-serif-strong-emphasized-font-weight,typography,9d834e30-53c1-4cea-9e17-2326038cb6cb,heading
heading-sans-serif-strong-emphasized-font-style,typography,f692d35f-1b11-43d1-ad29-967436b90928,heading
heading-serif-strong-emphasized-font-weight,typography,cd32f2b7-3e9f-47ae-ad34-2c7783dd5b2f,heading
heading-serif-strong-emphasized-font-style,typography,da6e1593-9d2a-4fd8-8877-d30d6e1d1c07,heading
heading-cjk-strong-emphasized-font-weight,typography,0080a817-b26f-42f1-84c4-5ed1ac08c12c,heading
heading-cjk-strong-emphasized-font-style,typography,22934d4d-4952-40a7-a5e5-256a7a3c9371,heading
heading-sans-serif-heavy-strong-emphasized-font-weight,typography,8779e773-7b37-4eb0-ae7a-2ba0104ad9d5,heading
heading-sans-serif-heavy-strong-emphasized-font-style,typography,c20ea22a-c34d-4c7c-a816-75b533e28c92,heading
heading-serif-heavy-strong-emphasized-font-weight,typography,2d8e76cd-f123-488d-893d-54a9f48f679e,heading
heading-serif-heavy-strong-emphasized-font-style,typography,adf303e8-1e27-4aec-9bbc-5abe166358ec,heading
heading-cjk-heavy-strong-emphasized-font-weight,typography,a0f680fa-2453-4bcc-b06c-9ff82de50c0c,heading
